id,type,text
6,T,"
En vue de la féminisation, de la negrification (Les singes sont incapables d’aligner une hausse et un guidon) et de la tarlouzification globale des forces d'occupations juives en France.
Nous pouvons aspirer à certains projets…
Il n'y a aucune différence en terme de contexte sociétal social et économique français à la république de Weimar pré hitlérienne et la république juive de france.
Les kouffars affaiblis par la judaïsation mentale et leur dégénérescence sont incapable de se battre pour leurs idéaux (bah oui meurt pas pour le consumérisme ou son canapé ikea) ils ont besoin d'une prime de mercenariat donc si le contexte financier s’aggrave ce qui va se passer (en 2050 si il ne s'est rien passé ce qui à mon avis me semble impossible on serra a un 1,2 cotisant contre un sale boomeur de merde à la retraite starfoullah (je ne peux m'empêcher d'être vulgaire).
Il faut nous organiser prendre des contacts et établir des structures locales et coordonnées par un commandement compétant pour organiser des attaques sur leurs mercenaires (on évite les civils sauf si ils s'agit de pisseur d'encre, de ripoux polliticard ou de traitres dans nos rangs)."
11,R,"
Les moudjahidines contre l'armée des singes.
Qui gagne le singe de l'armée d'occupation avec son (((galil))) en 5.56 (% amerimutt) ou le moudjahid deter avec avec son AKM en 7.62 ?"
22,R,"
Salam frère
Tu parlais du 5.56 amerimutt mais il est pas mal en situation de combat il drop pas beaucoup et est moins chiant en terme d'entretient que son rival le 7.62*39 parcequ'avec la corrosion si tu le nettoies pas ça bouffe littéralement le canon et détruit les rainures, pour avoir discuté avec des loyalistes afghans qui se sont fait avoir pas mal de fois avec les munitions de surplus chinois il faut faire gaffe et même en terme de balistique terminale le 7.62 est plus puissant en joules que le 5.56 mais il a pas l'effet d’entonnoir qui fait que la balle se tortille en spirale et détruit les organes.
Des mecs de la Kfor me disaient aussi que ces crétins de goyim/kouffar qui faisaient littéralement le jihad à notre place en Bosnie (même si à la fin les vrais musulmans se sont fait pogromed et ont servis de bouclier humain) que le 5.56 était plus utile dans un champ ouvert avec des plaines ou des désert mais qu'il manquait de pénétration sur les pare balle classiques.
Après pour moi les deux calibres ont des avantages le 7.62 même si il peut être stoppé par un pare balle va quand même faire un trauma ou une douleur telle que l'individu si il est touché à courte portée avec un gilet de police et sans plaque trauma sera fortement gêné dans ses mouvements et dans sa prise de décision."
27,R,"
>>22
As salamou alaykoum wa rahmatoullah wa barakatouh (j'ai oublier de saluer les potentiels lecteurs du thread, à part quelques troll de dempart qui spam du porn comme de gros déchets il n'y avait guère d'affluance sur mon board).
Oui c'est vrai dans beaucoup de témoignage d'hommes du front le simple fait d'entendre les balles siffler ou des gémissements des explosions, coup de feu etc ça nous met en état d'alerte noire où on était paralysé et on se met en boule dans un coin dans l'incapacité de se battre.
Je m'en souvient à l'époque où j'était sous les drapeaux lors des manœuvres des trucs aussi con que le bruit des rafales qui volent en rase-motte c'est WOAW: déjà juste le bruit ça te pète les tympans et de deux si tu sais pas ce que s'est tu pense qu'avec le boom super sonique c'est une explosion moi par réflexe je me suis jeté au sol en attrapant un autre gars (je suis passé pour un con d'ailleurs).    
tu peux cliquer sur le chiffre après le No. près du nom de la personne à qui tu veux répondre bon là on est que deux mais à l'avenir c'est ce qu'il faudra faire."
36,T,"
Salam, ici nous allons traiter la question du mouvement BDS et ses limites.
BDS ne fait qu'inciter au boycott de produits fabriqués dans les COLONIES de l'entité sioniste ! 
Ce qui n'est pas suffisant il faut boycotter tous les produits israélien et juifs ! 
Il en va de même pour les marques qui ont des positions sionistes ou qui ont des collaborateurs israéliens telles que: intel, Nvidia, HP, Toshiba, Acer ou (((Mosberg))) (les armes) et préfèrer des composants amd (processeurs) ou ati (cartes graphiques).
Éviter de faire ses courses à Carrefour et plein d'autres bonnes habitudes pour lutter contre ces rats juifs sont possibles ce sont de bonnes actions pour aider les frères qui luttent pour leur survie là bas et c'est aussi un moyen de privilégier des structures plus petites voire locale pour votre consommation.
L'argent que vous donnez à ces entreprises juives serra capté par les taxes des autorités de l'entité sioniste qui fabriqueront avec votre argent les JDAM qui tueront les femmes et les enfants de la oumma !
VOUS SEREZ ALORS RESPONSABLE DU MEURTRE DE MUSULMANS !
Soutenir les frères Philistins peut passer par l'achat de vrais kefier palestiniens mais il faut surtout convaincre nos proches de ne pas consommer les produits du juif du temple !
C'est un JIHAD ÉCONOMIQUE mes frères !!!!!
A votre avis pourquoi le chef du kufr français : l'encocaïné sodomite Emmanuel Mac Kufr condamne-t-il le boycott des produits israéliens ? 
Parce que : LE SHEKEL C'EST LE NERF DE LA GUERRE !!!!
Il faut diffuser les images choquantes (gores si possibles) avec des intitulés : Financeriez vous ces criminels juifs ?
Avec en dessous le numéro du code barre de cette colonie juive ou bien des noms de marques juives.
N'hésitez pas à faire culpabiliser des musulmans ayant acheté des artéfacts juifs type soda stream et toutes ces babioles juives pour qu'ils rejettent ces ""idoles"" du juif maléfique.
C'est un devoir et non une possibilité."
37,R,"
Un rage comic pour imager mon propos…"
15,T,"
On fait la promotion de personnalités: Cheik et d'imam de France qui valent la peine d'être écoutés.
-Eric Younous (les histoires de vies et prêches de très haute qualité sa science est respectable, il a étudié a Médine le droit islamique) 
https://www.youtube.com/channel/UCzqaBqDmgPApdlQwlNcoR3w
-Issa Hamad (même si je n'adhère pas à tout son dogme il est quand même bien conscient de la voie de dégénérescence qui nous frappe et a compris que le national socialisme aurait été une alternative préférable à l'europe sémitisée ou ashkénisée. Son site est intéressant mais la stasi l'a rendu inaccessible). 
Il va surement finir suicidé avec 3 balles dans le dos si il n'use pas de la taqiya (la police politique l'a mit en garde à vue). Toutefois un rapprochement est possible pourquoi pas un interview ou une collaboration…
J'attend vers le 20 si il est disponnible je le contacterai.
-Ismaïl Mounir (ses vidéos sont pragmatiques et répondent à des problématique islamiques du musulmans dans le réel)
https://www.youtube.com/channel/UCScD33YfKR7OsWbNnILyOKQ
https://www.youtube.com/channel/UC71do688eNENv03gtN5axRw
Et il y en a encore bien d'autres que je ne connais pas ou que je n'est pas cité mais il y en a aussi d'autres qui souvent jouent trop le jeu du bisounourssisme, quand on cherche des chaines communautaires on peut se passer de ce type de discours."
16,R,"
N'hésitez pas faire partager des contenus de science islamique qui serraient intéressent pour la communauté.
Et par pitié pas de judéopolitiquement correct l'islam tu t'y soumet ou tu le quitte (à tes risques et périls)."
33,R,"
Salam
Il faut aussi rajouter basile blandine sur youtube il se revendique ""non musulman"" mais vu ces connaissances en islam qui sont trop pointues pour qu'il n'en fasse pas partie et son entreprise de debunking contre les bsalphèmes de la part des apostats ex-musulmans et des kuffar natifs. Il doit être très certainement une sorte de crypto musulman.
A mon avis c'est un muslim qui ne veut tellement pas dire de faussetés qu'il se dédouane de ses erreurs en se disant kafir.
Ps j'avais un kabyle dans ma classe qui avait le même nom de famille et étant donné qu'il (basile) soit arabophone et oeuvre contre les fausses paroles en se disant ""islamophile"" cela ne fait aucun doute qu'il soit muslim.
Mon autre théorie c'est que comme il a mit son nom prénom sur internet pour éviter qu'il ne soit affiché comme musulman ""radical"" et qu'il ait eut du mal à trouver du taff il s'est réclamé du parti des injustes pour éviter cet évincement du monde du travail. 
Après cela ne sont que des spéculations. Après selon mon humble avis il devrait être un peu plus malin et se douter que l'internet mainstream n'est plus libre et que l'on ne peut pas dire ce que l'on veut. Il devrait très bien savoir que les imams adoucissent leurs propos pour convenir aux injustes car sinon c'est la prison.
>>15 (OP) (OP)
Mounir, oui dans l'ensemble mais il a dit quelques bêtises… bon aussi il est obligé d'édulcorer et de faire de la taqiya vu sa visibilité sinon sa chaîne serrait censurée.
Cependant attention il a relayé des imams douteux… Après pour ce qui est des problématiques quotidiennes c'est ok mais quand il aborde certaines thématiques théologiques propre dogme et moins de la pratique il faut vérifier en parallèle notament vis à vis de la sélection de certains hadiths et paroles qu'il peut sectionné pour n'aller que dans son sens ou dans (((celui taghout officiel de la judéocratie))).
Après la question c'est plus si sur certains points il fait exprès pour convenir kuffar ou si il connaît mal son dogme.
Je pense que c'est pour ne pas se faire strike qu'il reste (((compatible avec le judéopolitiquement correct))).
La chaîne de basile 
https://m.youtube.com/channel/UCD_OLDpuL494EJsqxTTfKoA"
3,T,"
As salamou alaykoum wa rahmatoullah wa barakatouh. 
Nous allons exposer les buts et règles de ce board:
Lutter contre le sémitisme global et (((leurs))) doctrines: Negricisme (association dans le culte du nègre) , athéisme, judéo-bolchevisme, marxisme, féminisme, cosmopolitisme, métissage, esclavage, masculinisme, talmudisme tribal et primitif, sectes chiite d'(((Abdullah ibn Saba))) ou soufisme/gnose et ce type de kouffardise des associateurs, anti-natalisme, réchauffisme (taxe carbone pour israhell pour envoyer des bereSHIT polluer l'espace), platisme, exterminationnisme (BTG les 6 millions viennent d'un verset du talmud et les chiffres officiel d'IBM), candaulisme, satanisme (que Dieu le brûle), religion de la Shoah…  
Tout cela dans le but d'établir un état islamique où la charia sera appliquée sur les musulmans. 
(on laisse les kouffar dans leur dégénérescence tqt pas on va pas t'interdire le porc, l'alcool, la cigarette et la pornographie c'est bon t'es content le dégénéré ?)
Les règles du board sont simples:
-Pas d'appel au meurtre et à la violence car nous croyons en les valeurs du (((progrès))) et de la judéocratie (full taqiya mais j'ai pas envie d'avoir de problème avec la stasi).
-Pas de post à caractère pornographique ou montrant des femmes sous des angles douteux.
-Pas de promotions des vices, des péchés et du Haram.
-Pas d’ostension de ces derniers en vue de les banaliser en les rendant ostensibles.
-Pas de promotion des sectes et autre interprétation du dogme (oui je suis littéraliste si t'es pas content go enfer).
-Pas de shills qui promeuvent des guerres juives anti-chiites (même si selon moi leur dogme est faux) et qui suivent à la lettre le plan Yinon anti-arabe, anti-islam et anti-baassiste ni les plans racistes (qui veulent la destruction des races) style Kalergisme noachique.
-VPN + Tor obligatoire sauf pour les 50 de Qi qui veulent se faire RAID par Gillbert et Shlomo.
-Pas de pleurniche du style : ""6 millions oy vey gib mes shekels goy !"" ou ""Mé ilzon pillé l'afwique !!! ouga bouga donne moi les allocs !!!
De un: un élément relatant d'une des phrases entre guillemet n'a tout bonnement jamais existé et est issu de la pornographie talmudique qui dit que quand 6 millions d'entre eux seront crevés alors ils auront le droit de squatter la terre des Philistins.
De deux la culture de l'excuse et de la défaite est intolérable et doit être définitivement exclue de nos discours ! Avec Al Andalus qui s'étalait l'europe (France + Espagne + Portugal) et qui est resté pendant près de sept siècle en Europe (Espagne).
As tu déjà vu des portugais, des espagnols, des français dire :
 ""ouga bouga ilzon pillé l'europe rendez laaargennnnnnnnn ! "".
Non ! La pleurniche c'est un truc de loser et de faible donc gtfo pour ce type de threads.
-On reste poli courtois : pas de haine raciale/religieuse/ethnique/tribale/filiale/etc
-Même si on se réserve le droit et le devoir de dénigrer les singes, (((les rats aux long nez))), les beurettes se laissant inséminer par les singes (La BCS comdamne la zoophilie) , les pédales (de vélos), les candaules de gauche (usul candaulisé par son individu non binaire transgenre hélicoptère de combat mil 24 hind), les candaules de droite (H2L qui donne sa fille aux (((rats aux long nez))) en échange d'une hypothétique conservation de sa place à radio courtoisie pour finalement se prendre ce qu'il mérite càd un coup de couteau dans le dos) et autres dégénérés par nature."
